index,entropy,std,size,compressed_size,compression_ratio
0-0,0.05,0.2888,11,2302,65.4
0-1,0.05,0.2888,11,2280,66.0
0-2,0.05,0.2888,11,2302,65.4
0-3,0.05,0.2888,11,2381,63.22
0-4,0.05,0.2888,11,2280,66.0
1-0,0.051,0.2893,11,2428,62.0
1-1,0.051,0.2893,11,2472,60.9
1-2,0.051,0.2893,11,2364,63.7
1-3,0.051,0.2893,11,2465,61.06
1-4,0.051,0.2893,11,2329,64.6
2-0,0.052,0.2898,11,2360,63.78
2-1,0.052,0.2898,11,2435,61.8
2-2,0.052,0.2898,11,2441,61.66
2-3,0.052,0.2898,11,2415,62.34
2-4,0.052,0.2898,11,2294,65.6
3-0,0.053,0.2905,11,2463,61.12
3-1,0.053,0.2905,11,2515,59.84
3-2,0.053,0.2905,11,2437,61.78
3-3,0.053,0.2905,11,2534,59.4
3-4,0.053,0.2905,11,2530,59.5
4-0,0.054,0.291,11,2469,60.97
4-1,0.054,0.291,11,2435,61.8
4-2,0.054,0.291,11,2559,58.8
4-3,0.054,0.291,11,2498,60.25
4-4,0.054,0.291,11,2398,62.78
5-0,0.055,0.2915,11,2468,61.0
5-1,0.055,0.2915,11,2557,58.88
5-2,0.055,0.2915,11,2528,59.53
5-3,0.055,0.2915,11,2447,61.5
5-4,0.055,0.2915,11,2562,58.75
6-0,0.056,0.292,11,2429,61.97
6-1,0.056,0.292,11,2633,57.16
6-2,0.056,0.292,11,2531,59.47
6-3,0.056,0.292,11,2627,57.3
6-4,0.056,0.292,11,2538,59.3
7-0,0.057,0.2925,11,2646,56.88
7-1,0.057,0.2925,11,2502,60.16
7-2,0.057,0.2925,11,2584,58.25
7-3,0.057,0.2925,11,2635,57.12
7-4,0.057,0.2925,11,2698,55.78
8-0,0.058,0.293,11,2715,55.44
8-1,0.058,0.293,11,2599,57.9
8-2,0.058,0.293,11,2618,57.5
8-3,0.058,0.293,11,2519,59.75
8-4,0.058,0.293,11,2704,55.66
9-0,0.059,0.2935,11,2668,56.4
9-1,0.059,0.2935,11,2689,55.97
9-2,0.059,0.2935,11,2655,56.7
9-3,0.059,0.2935,11,2774,54.25
9-4,0.059,0.2935,11,2653,56.75
10-0,0.06,0.2942,11,2701,55.72
10-1,0.06,0.2942,11,2755,54.62
10-2,0.06,0.2942,11,2664,56.5
10-3,0.06,0.2942,11,2772,54.3
10-4,0.06,0.2942,11,2717,55.4
11-0,0.061,0.2947,11,2798,53.8
11-1,0.061,0.2947,11,2752,54.7
11-2,0.061,0.2947,11,2885,52.2
11-3,0.061,0.2947,11,2695,55.84
11-4,0.061,0.2947,11,2666,56.47
12-0,0.062,0.2952,11,2793,53.9
12-1,0.062,0.2952,11,2735,55.03
12-2,0.062,0.2952,11,2748,54.78
12-3,0.062,0.2952,11,2772,54.3
12-4,0.062,0.2952,11,2724,55.25
13-0,0.063,0.2957,11,2775,54.25
13-1,0.063,0.2957,11,2877,52.3
13-2,0.063,0.2957,11,2830,53.2
13-3,0.063,0.2957,11,2791,53.94
13-4,0.063,0.2957,11,2705,55.66
14-0,0.064,0.2961,11,2876,52.34
14-1,0.064,0.2961,11,2854,52.75
14-2,0.064,0.2961,11,2856,52.72
14-3,0.064,0.2961,11,2764,54.47
14-4,0.064,0.2961,11,2783,54.1
15-0,0.065,0.2966,11,2892,52.06
15-1,0.065,0.2966,11,2872,52.4
15-2,0.065,0.2966,11,2778,54.2
15-3,0.065,0.2966,11,2953,50.97
15-4,0.065,0.2966,11,2802,53.72
16-0,0.066,0.2969,11,2973,50.62
16-1,0.066,0.2969,11,3035,49.6
16-2,0.066,0.2969,11,2939,51.22
16-3,0.066,0.2969,11,2910,51.72
16-4,0.066,0.2969,11,2894,52.0
17-0,0.067,0.2974,11,2810,53.56
17-1,0.067,0.2974,11,2968,50.72
17-2,0.067,0.2974,11,2926,51.44
17-3,0.067,0.2974,11,2861,52.62
17-4,0.067,0.2974,11,2857,52.7
18-0,0.068,0.2979,11,2975,50.6
18-1,0.068,0.2979,11,2964,50.78
18-2,0.068,0.2979,11,2927,51.44
18-3,0.068,0.2979,11,2960,50.84
18-4,0.068,0.2979,11,2948,51.06
19-0,0.069,0.2983,11,3017,49.9
19-1,0.069,0.2983,11,2958,50.88
19-2,0.069,0.2983,11,2976,50.6
19-3,0.069,0.2983,11,2976,50.6
19-4,0.069,0.2983,11,3051,49.34
20-0,0.07,0.2988,11,3172,47.47
20-1,0.07,0.2988,11,3039,49.53
20-2,0.07,0.2988,11,3040,49.53
20-3,0.07,0.2988,11,3056,49.25
20-4,0.07,0.2988,11,3028,49.72
21-0,0.071,0.2993,11,3061,49.2
21-1,0.071,0.2993,11,3163,47.6
21-2,0.071,0.2993,11,3080,48.88
21-3,0.071,0.2993,11,3074,48.97
21-4,0.071,0.2993,11,3156,47.7
22-0,0.072,0.2998,11,3107,48.44
22-1,0.072,0.2998,11,3070,49.03
22-2,0.072,0.2998,11,3128,48.12
22-3,0.072,0.2998,11,3133,48.03
22-4,0.072,0.2998,11,3160,47.62
23-0,0.073,0.3003,11,3119,48.25
23-1,0.073,0.3003,11,3135,48.0
23-2,0.073,0.3003,11,3101,48.53
23-3,0.073,0.3003,11,3073,48.97
23-4,0.073,0.3003,11,3187,47.22
24-0,0.074,0.3005,11,3310,45.47
24-1,0.074,0.3005,11,3165,47.56
24-2,0.074,0.3005,11,3260,46.2
24-3,0.074,0.3005,11,3239,46.47
24-4,0.074,0.3005,11,3133,48.03
25-0,0.075,0.301,11,3270,46.03
25-1,0.075,0.301,11,3140,47.94
25-2,0.075,0.301,11,3108,48.44
25-3,0.075,0.301,11,3267,46.06
25-4,0.075,0.301,11,3234,46.53
26-0,0.076,0.3015,11,3368,44.7
26-1,0.076,0.3015,11,3214,46.84
26-2,0.076,0.3015,11,3335,45.12
26-3,0.076,0.3015,11,3222,46.72
26-4,0.076,0.3015,11,3337,45.1
27-0,0.077,0.302,11,3308,45.5
27-1,0.077,0.302,11,3286,45.8
27-2,0.077,0.302,11,3398,44.3
27-3,0.077,0.302,11,3342,45.03
27-4,0.077,0.302,11,3413,44.1
28-0,0.078,0.3022,11,3304,45.56
28-1,0.078,0.3022,11,3336,45.12
28-2,0.078,0.3022,11,3387,44.44
28-3,0.078,0.3022,11,3398,44.3
28-4,0.078,0.3022,11,3384,44.47
29-0,0.079,0.3027,11,3280,45.9
29-1,0.079,0.3027,11,3446,43.7
29-2,0.079,0.3027,11,3348,44.97
29-3,0.079,0.3027,11,3319,45.34
29-4,0.079,0.3027,11,3347,44.97
30-0,0.08,0.3032,11,3356,44.84
30-1,0.08,0.3032,11,3294,45.7
30-2,0.08,0.3032,11,3362,44.78
30-3,0.08,0.3032,11,3464,43.47
30-4,0.08,0.3032,11,3401,44.25
31-0,0.081,0.3035,11,3446,43.7
31-1,0.081,0.3035,11,3516,42.8
31-2,0.081,0.3035,11,3375,44.6
31-3,0.081,0.3035,11,3463,43.47
31-4,0.081,0.3035,11,3369,44.7
32-0,0.082,0.304,11,3444,43.72
32-1,0.082,0.304,11,3406,44.2
32-2,0.082,0.304,11,3420,44.0
32-3,0.082,0.304,11,3442,43.72
32-4,0.082,0.304,11,3480,43.25
33-0,0.083,0.3044,11,3613,41.66
33-1,0.083,0.3044,11,3455,43.56
33-2,0.083,0.3044,11,3498,43.03
33-3,0.083,0.3044,11,3444,43.72
33-4,0.083,0.3044,11,3423,43.97
34-0,0.084,0.305,11,3493,43.1
34-1,0.084,0.305,11,3652,41.22
34-2,0.084,0.305,11,3598,41.84
34-3,0.084,0.305,11,3569,42.2
34-4,0.084,0.305,11,3542,42.5
35-0,0.085,0.3052,11,3577,42.1
35-1,0.085,0.3052,11,3532,42.62
35-2,0.085,0.3052,11,3546,42.44
35-3,0.085,0.3052,11,3575,42.1
35-4,0.085,0.3052,11,3507,42.94
36-0,0.086,0.3057,11,3537,42.56
36-1,0.086,0.3057,11,3620,41.6
36-2,0.086,0.3057,11,3721,40.47
36-3,0.086,0.3057,11,3513,42.84
36-4,0.086,0.3057,11,3601,41.8
37-0,0.087,0.306,11,3518,42.78
37-1,0.087,0.306,11,3552,42.38
37-2,0.087,0.306,11,3603,41.78
37-3,0.087,0.306,11,3646,41.28
37-4,0.087,0.306,11,3580,42.06
38-0,0.088,0.3064,11,3595,41.88
38-1,0.088,0.3064,11,3744,40.22
38-2,0.088,0.3064,11,3581,42.03
38-3,0.088,0.3064,11,3622,41.56
38-4,0.088,0.3064,11,3653,41.22
39-0,0.089,0.307,11,3694,40.75
39-1,0.089,0.307,11,3661,41.12
39-2,0.089,0.307,11,3741,40.25
39-3,0.089,0.307,11,3658,41.16
39-4,0.089,0.307,11,3743,40.22
40-0,0.09,0.3071,11,3768,39.94
40-1,0.09,0.3071,11,3691,40.78
40-2,0.09,0.3071,11,3566,42.22
40-3,0.09,0.3071,11,3770,39.94
40-4,0.09,0.3071,11,3584,42.0
41-0,0.091,0.3076,11,3762,40.0
41-1,0.091,0.3076,11,3733,40.3
41-2,0.091,0.3076,11,3759,40.03
41-3,0.091,0.3076,11,3720,40.47
41-4,0.091,0.3076,11,3832,39.28
42-0,0.092,0.3079,11,3724,40.4
42-1,0.092,0.3079,11,3811,39.5
42-2,0.092,0.3079,11,3762,40.0
42-3,0.092,0.3079,11,3624,41.53
42-4,0.092,0.3079,11,3761,40.03
43-0,0.093,0.3083,11,3791,39.72
43-1,0.093,0.3083,11,3842,39.2
43-2,0.093,0.3083,11,3776,39.88
43-3,0.093,0.3083,11,3777,39.84
43-4,0.093,0.3083,11,3832,39.28
44-0,0.094,0.3086,11,3907,38.53
44-1,0.094,0.3086,11,3756,40.06
44-2,0.094,0.3086,11,3767,39.97
44-3,0.094,0.3086,11,3891,38.7
44-4,0.094,0.3086,11,3849,39.1
45-0,0.095,0.309,11,3910,38.5
45-1,0.095,0.309,11,3827,39.34
45-2,0.095,0.309,11,3836,39.25
45-3,0.095,0.309,11,3939,38.22
45-4,0.095,0.309,11,3803,39.6
46-0,0.096,0.3096,11,3899,38.6
46-1,0.096,0.3096,11,3875,38.84
46-2,0.096,0.3096,11,3902,38.56
46-3,0.096,0.3096,11,3965,37.97
46-4,0.096,0.3096,11,3967,37.94
47-0,0.097,0.3098,11,4016,37.47
47-1,0.097,0.3098,11,3964,37.97
47-2,0.097,0.3098,11,3959,38.03
47-3,0.097,0.3098,11,3864,38.97
47-4,0.097,0.3098,11,3914,38.47
48-0,0.098,0.3103,11,3993,37.7
48-1,0.098,0.3103,11,3981,37.8
48-2,0.098,0.3103,11,4034,37.3
48-3,0.098,0.3103,11,4032,37.34
48-4,0.098,0.3103,11,3901,38.6
49-0,0.099,0.3105,11,4082,36.88
49-1,0.099,0.3105,11,3937,38.22
49-2,0.099,0.3105,11,3986,37.75
49-3,0.099,0.3105,11,3941,38.2
49-4,0.099,0.3105,11,3985,37.78
50-0,0.1,0.311,11,4088,36.8
50-1,0.1,0.311,11,4157,36.22
50-2,0.1,0.311,11,4160,36.2
50-3,0.1,0.311,11,4033,37.3
50-4,0.1,0.311,11,4032,37.34
51-0,0.101,0.3113,11,4007,37.56
51-1,0.101,0.3113,11,3922,38.38
51-2,0.101,0.3113,11,4082,36.88
51-3,0.101,0.3113,11,4041,37.25
51-4,0.101,0.3113,11,4025,37.4
52-0,0.102,0.3118,11,4095,36.75
52-1,0.102,0.3118,11,4077,36.9
52-2,0.102,0.3118,11,4171,36.1
52-3,0.102,0.3118,11,4160,36.2
52-4,0.102,0.3118,11,4016,37.47
53-0,0.103,0.312,11,4027,37.38
53-1,0.103,0.312,11,4168,36.12
53-2,0.103,0.312,11,4163,36.16
53-3,0.103,0.312,11,4246,35.44
53-4,0.103,0.312,11,4102,36.7
54-0,0.104,0.3123,11,4147,36.3
54-1,0.104,0.3123,11,4205,35.8
54-2,0.104,0.3123,11,4201,35.84
54-3,0.104,0.3123,11,4057,37.1
54-4,0.104,0.3123,11,4251,35.4
55-0,0.105,0.3127,11,4276,35.2
55-1,0.105,0.3127,11,4215,35.72
55-2,0.105,0.3127,11,4319,34.84
55-3,0.105,0.3127,11,4192,35.9
55-4,0.105,0.3127,11,4134,36.4
56-0,0.106,0.313,11,4262,35.3
56-1,0.106,0.313,11,4258,35.34
56-2,0.106,0.313,11,4241,35.5
56-3,0.106,0.313,11,4143,36.34
56-4,0.106,0.313,11,4085,36.84
57-0,0.107,0.3135,11,4221,35.66
57-1,0.107,0.3135,11,4216,35.72
57-2,0.107,0.3135,11,4188,35.94
57-3,0.107,0.3135,11,4269,35.25
57-4,0.107,0.3135,11,4232,35.56
58-0,0.108,0.3137,11,4175,36.06
58-1,0.108,0.3137,11,4425,34.03
58-2,0.108,0.3137,11,4329,34.78
58-3,0.108,0.3137,11,4377,34.4
58-4,0.108,0.3137,11,4266,35.28
59-0,0.109,0.3142,11,4423,34.03
59-1,0.109,0.3142,11,4266,35.28
59-2,0.109,0.3142,11,4255,35.38
59-3,0.109,0.3142,11,4376,34.4
59-4,0.109,0.3142,11,4399,34.22
60-0,0.11,0.3145,11,4309,34.94
60-1,0.11,0.3145,11,4527,33.25
60-2,0.11,0.3145,11,4421,34.06
60-3,0.11,0.3145,11,4195,35.88
60-4,0.11,0.3145,11,4469,33.7
61-0,0.111,0.3147,11,4298,35.03
61-1,0.111,0.3147,11,4564,32.97
61-2,0.111,0.3147,11,4281,35.16
61-3,0.111,0.3147,11,4356,34.56
61-4,0.111,0.3147,11,4429,34.0
62-0,0.112,0.3152,11,4356,34.56
62-1,0.112,0.3152,11,4302,35.0
62-2,0.112,0.3152,11,4460,33.75
62-3,0.112,0.3152,11,4516,33.34
62-4,0.112,0.3152,11,4323,34.8
63-0,0.113,0.3154,11,4407,34.16
63-1,0.113,0.3154,11,4483,33.56
63-2,0.113,0.3154,11,4443,33.88
63-3,0.113,0.3154,11,4439,33.9
63-4,0.113,0.3154,11,4463,33.72
64-0,0.114,0.316,11,4515,33.34
64-1,0.114,0.316,11,4517,33.3
64-2,0.114,0.316,11,4471,33.66
64-3,0.114,0.316,11,4524,33.28
64-4,0.114,0.316,11,4541,33.16
65-0,0.115,0.3162,11,4652,32.34
65-1,0.115,0.3162,11,4592,32.78
65-2,0.115,0.3162,11,4469,33.7
65-3,0.115,0.3162,11,4544,33.12
65-4,0.115,0.3162,11,4490,33.53
66-0,0.116,0.3164,11,4521,33.28
66-1,0.116,0.3164,11,4495,33.5
66-2,0.116,0.3164,11,4551,33.06
66-3,0.116,0.3164,11,4541,33.16
66-4,0.116,0.3164,11,4646,32.4
67-0,0.117,0.317,11,4511,33.38
67-1,0.117,0.317,11,4489,33.53
67-2,0.117,0.317,11,4472,33.66
67-3,0.117,0.317,11,4591,32.78
67-4,0.117,0.317,11,4561,33.0
68-0,0.118,0.3171,11,4388,34.3
68-1,0.118,0.3171,11,4530,33.22
68-2,0.118,0.3171,11,4533,33.22
68-3,0.118,0.3171,11,4472,33.66
68-4,0.118,0.3171,11,4569,32.94
69-0,0.119,0.3174,11,4621,32.56
69-1,0.119,0.3174,11,4597,32.75
69-2,0.119,0.3174,11,4540,33.16
69-3,0.119,0.3174,11,4589,32.8
69-4,0.119,0.3174,11,4714,31.94
70-0,0.12,0.3179,11,4609,32.66
70-1,0.12,0.3179,11,4623,32.56
70-2,0.12,0.3179,11,4705,32.0
70-3,0.12,0.3179,11,4537,33.2
70-4,0.12,0.3179,11,4717,31.9
71-0,0.121,0.318,11,4734,31.8
71-1,0.121,0.318,11,4613,32.62
71-2,0.121,0.318,11,4709,31.97
71-3,0.121,0.318,11,4663,32.28
71-4,0.121,0.318,11,4786,31.45
72-0,0.122,0.3184,11,4746,31.72
72-1,0.122,0.3184,11,4670,32.22
72-2,0.122,0.3184,11,4832,31.16
72-3,0.122,0.3184,11,4747,31.7
72-4,0.122,0.3184,11,4722,31.88
73-0,0.123,0.3188,11,4808,31.31
73-1,0.123,0.3188,11,4903,30.7
73-2,0.123,0.3188,11,4786,31.45
73-3,0.123,0.3188,11,4790,31.42
73-4,0.123,0.3188,11,4703,32.0
74-0,0.124,0.319,11,4709,31.97
74-1,0.124,0.319,11,4759,31.62
74-2,0.124,0.319,11,4838,31.11
74-3,0.124,0.319,11,4845,31.06
74-4,0.124,0.319,11,4690,32.1
75-0,0.125,0.3193,11,4853,31.02
75-1,0.125,0.3193,11,4870,30.9
75-2,0.125,0.3193,11,4759,31.62
75-3,0.125,0.3193,11,4806,31.33
75-4,0.125,0.3193,11,4871,30.9
76-0,0.126,0.3198,11,4795,31.39
76-1,0.126,0.3198,11,4915,30.62
76-2,0.126,0.3198,11,4961,30.34
76-3,0.126,0.3198,11,4969,30.3
76-4,0.126,0.3198,11,4824,31.2
77-0,0.127,0.32,11,4960,30.34
77-1,0.127,0.32,11,4742,31.75
77-2,0.127,0.32,11,4852,31.03
77-3,0.127,0.32,11,4998,30.12
77-4,0.127,0.32,11,4890,30.78
78-0,0.128,0.3203,11,4878,30.86
78-1,0.128,0.3203,11,4873,30.89
78-2,0.128,0.3203,11,4853,31.02
78-3,0.128,0.3203,11,4804,31.33
78-4,0.128,0.3203,11,4975,30.25
79-0,0.129,0.3208,11,5013,30.03
79-1,0.129,0.3208,11,4973,30.27
79-2,0.129,0.3208,11,4892,30.77
79-3,0.129,0.3208,11,4938,30.48
79-4,0.129,0.3208,11,4986,30.19
80-0,0.13,0.321,11,4881,30.84
80-1,0.13,0.321,11,4954,30.39
80-2,0.13,0.321,11,5040,29.86
80-3,0.13,0.321,11,4994,30.14
80-4,0.13,0.321,11,5011,30.05
81-0,0.131,0.3213,11,5064,29.72
81-1,0.131,0.3213,11,4991,30.16
81-2,0.131,0.3213,11,4964,30.33
81-3,0.131,0.3213,11,5105,29.48
81-4,0.131,0.3213,11,4835,31.14
82-0,0.132,0.3215,11,5174,29.1
82-1,0.132,0.3215,11,5015,30.02
82-2,0.132,0.3215,11,5037,29.89
82-3,0.132,0.3215,11,5042,29.86
82-4,0.132,0.3215,11,4980,30.22
83-0,0.133,0.322,11,5084,29.61
83-1,0.133,0.322,11,5034,29.9
83-2,0.133,0.322,11,4995,30.14
83-3,0.133,0.322,11,4979,30.23
83-4,0.133,0.322,11,5178,29.08
84-0,0.134,0.3223,11,5038,29.88
84-1,0.134,0.3223,11,5053,29.8
84-2,0.134,0.3223,11,5194,28.98
84-3,0.134,0.3223,11,5184,29.03
84-4,0.134,0.3223,11,5155,29.2
85-0,0.135,0.3225,11,5128,29.36
85-1,0.135,0.3225,11,5097,29.53
85-2,0.135,0.3225,11,5099,29.52
85-3,0.135,0.3225,11,5047,29.83
85-4,0.135,0.3225,11,5059,29.75
86-0,0.136,0.3228,11,5201,28.94
86-1,0.136,0.3228,11,5175,29.1
86-2,0.136,0.3228,11,5191,29.0
86-3,0.136,0.3228,11,5041,29.86
86-4,0.136,0.3228,11,5169,29.12
87-0,0.137,0.3232,11,5168,29.12
87-1,0.137,0.3232,11,5122,29.39
87-2,0.137,0.3232,11,5113,29.44
87-3,0.137,0.3232,11,5179,29.06
87-4,0.137,0.3232,11,5128,29.36
88-0,0.138,0.3235,11,5280,28.52
88-1,0.138,0.3235,11,5123,29.38
88-2,0.138,0.3235,11,5250,28.67
88-3,0.138,0.3235,11,5271,28.56
88-4,0.138,0.3235,11,5071,29.69
89-0,0.139,0.3237,11,5258,28.62
89-1,0.139,0.3237,11,5416,27.8
89-2,0.139,0.3237,11,5310,28.34
89-3,0.139,0.3237,11,5211,28.89
89-4,0.139,0.3237,11,5100,29.52
90-0,0.14,0.324,11,5271,28.56
90-1,0.14,0.324,11,5246,28.69
90-2,0.14,0.324,11,5265,28.6
90-3,0.14,0.324,11,5223,28.81
90-4,0.14,0.324,11,5236,28.75
91-0,0.141,0.3245,11,5334,28.22
91-1,0.141,0.3245,11,5271,28.56
91-2,0.141,0.3245,11,5176,29.08
91-3,0.141,0.3245,11,5336,28.2
91-4,0.141,0.3245,11,5428,27.73
92-0,0.142,0.3247,11,5349,28.14
92-1,0.142,0.3247,11,5362,28.08
92-2,0.142,0.3247,11,5316,28.31
92-3,0.142,0.3247,11,5386,27.95
92-4,0.142,0.3247,11,5306,28.38
93-0,0.143,0.325,11,5530,27.22
93-1,0.143,0.325,11,5450,27.62
93-2,0.143,0.325,11,5287,28.47
93-3,0.143,0.325,11,5312,28.34
93-4,0.143,0.325,11,5268,28.58
94-0,0.144,0.3252,11,5337,28.2
94-1,0.144,0.3252,11,5468,27.53
94-2,0.144,0.3252,11,5463,27.55
94-3,0.144,0.3252,11,5361,28.08
94-4,0.144,0.3252,11,5506,27.34
95-0,0.145,0.3254,11,5420,27.77
95-1,0.145,0.3254,11,5318,28.31
95-2,0.145,0.3254,11,5399,27.88
95-3,0.145,0.3254,11,5469,27.53
95-4,0.145,0.3254,11,5406,27.84
96-0,0.146,0.326,11,5426,27.73
96-1,0.146,0.326,11,5432,27.72
96-2,0.146,0.326,11,5539,27.17
96-3,0.146,0.326,11,5684,26.48
96-4,0.146,0.326,11,5364,28.06
97-0,0.147,0.3262,11,5461,27.56
97-1,0.147,0.3262,11,5557,27.1
97-2,0.147,0.3262,11,5460,27.56
97-3,0.147,0.3262,11,5577,26.98
97-4,0.147,0.3262,11,5515,27.3
98-0,0.148,0.3264,11,5575,27.0
98-1,0.148,0.3264,11,5427,27.73
98-2,0.148,0.3264,11,5664,26.58
98-3,0.148,0.3264,11,5623,26.77
98-4,0.148,0.3264,11,5462,27.56
99-0,0.149,0.3267,11,5446,27.64
99-1,0.149,0.3267,11,5601,26.88
99-2,0.149,0.3267,11,5708,26.38
99-3,0.149,0.3267,11,5567,27.05
99-4,0.149,0.3267,11,5514,27.3
100-0,0.15,0.327,11,5618,26.8
100-1,0.15,0.327,11,5580,26.97
100-2,0.15,0.327,11,5666,26.56
100-3,0.15,0.327,11,5584,26.95
100-4,0.15,0.327,11,5493,27.4
101-0,0.151,0.3274,11,5669,26.55
101-1,0.151,0.3274,11,5541,27.17
101-2,0.151,0.3274,11,5535,27.2
101-3,0.151,0.3274,11,5594,26.9
101-4,0.151,0.3274,11,5657,26.61
102-0,0.152,0.3276,11,5775,26.06
102-1,0.152,0.3276,11,5567,27.05
102-2,0.152,0.3276,11,5663,26.58
102-3,0.152,0.3276,11,5704,26.39
102-4,0.152,0.3276,11,5685,26.48
103-0,0.153,0.328,11,5774,26.06
103-1,0.153,0.328,11,5699,26.4
103-2,0.153,0.328,11,5679,26.5
103-3,0.153,0.328,11,5722,26.31
103-4,0.153,0.328,11,5775,26.06
104-0,0.154,0.3281,11,5871,25.64
104-1,0.154,0.3281,11,5907,25.48
104-2,0.154,0.3281,11,5711,26.36
104-3,0.154,0.3281,11,5585,26.95
104-4,0.154,0.3281,11,5646,26.66
105-0,0.155,0.3284,11,5789,26.0
105-1,0.155,0.3284,11,5736,26.25
105-2,0.155,0.3284,11,5734,26.25
105-3,0.155,0.3284,11,5641,26.69
105-4,0.155,0.3284,11,5776,26.06
106-0,0.156,0.3286,11,5717,26.33
106-1,0.156,0.3286,11,5715,26.34
106-2,0.156,0.3286,11,5687,26.47
106-3,0.156,0.3286,11,5774,26.06
106-4,0.156,0.3286,11,5690,26.45
107-0,0.157,0.329,11,5842,25.77
107-1,0.157,0.329,11,5689,26.45
107-2,0.157,0.329,11,5880,25.6
107-3,0.157,0.329,11,5765,26.11
107-4,0.157,0.329,11,5818,25.88
108-0,0.158,0.3293,11,5817,25.88
108-1,0.158,0.3293,11,5980,25.17
108-2,0.158,0.3293,11,5848,25.73
108-3,0.158,0.3293,11,5826,25.84
108-4,0.158,0.3293,11,5950,25.3
109-0,0.159,0.3296,11,6015,25.03
109-1,0.159,0.3296,11,5997,25.1
109-2,0.159,0.3296,11,5957,25.27
109-3,0.159,0.3296,11,5845,25.75
109-4,0.159,0.3296,11,5993,25.12
110-0,0.16,0.3298,11,5750,26.17
110-1,0.16,0.3298,11,5844,25.75
110-2,0.16,0.3298,11,5855,25.7
110-3,0.16,0.3298,11,5886,25.58
110-4,0.16,0.3298,11,5872,25.64
111-0,0.161,0.33,11,5935,25.36
111-1,0.161,0.33,11,5884,25.58
111-2,0.161,0.33,11,5865,25.67
111-3,0.161,0.33,11,5963,25.25
111-4,0.161,0.33,11,5972,25.2
112-0,0.162,0.3303,11,5945,25.31
112-1,0.162,0.3303,11,5871,25.64
112-2,0.162,0.3303,11,5988,25.14
112-3,0.162,0.3303,11,6027,24.97
112-4,0.162,0.3303,11,5786,26.02
113-0,0.163,0.3306,11,5958,25.27
113-1,0.163,0.3306,11,5929,25.39
113-2,0.163,0.3306,11,6022,25.0
113-3,0.163,0.3306,11,5946,25.31
113-4,0.163,0.3306,11,5879,25.61
114-0,0.164,0.331,11,5973,25.2
114-1,0.164,0.331,11,6063,24.83
114-2,0.164,0.331,11,6187,24.33
114-3,0.164,0.331,11,6200,24.28
114-4,0.164,0.331,11,6083,24.75
115-0,0.165,0.3313,11,5962,25.25
115-1,0.165,0.3313,11,6120,24.6
115-2,0.165,0.3313,11,6156,24.45
115-3,0.165,0.3313,11,6034,24.95
115-4,0.165,0.3313,11,5983,25.16
116-0,0.166,0.3315,11,6256,24.06
116-1,0.166,0.3315,11,6091,24.72
116-2,0.166,0.3315,11,6063,24.83
116-3,0.166,0.3315,11,6078,24.77
116-4,0.166,0.3315,11,5998,25.1
117-0,0.167,0.3318,11,6018,25.02
117-1,0.167,0.3318,11,6073,24.78
117-2,0.167,0.3318,11,6071,24.8
117-3,0.167,0.3318,11,6068,24.81
117-4,0.167,0.3318,11,6223,24.19
118-0,0.168,0.332,11,6113,24.62
118-1,0.168,0.332,11,6141,24.52
118-2,0.168,0.332,11,6112,24.62
118-3,0.168,0.332,11,6271,24.0
118-4,0.168,0.332,11,6145,24.5
119-0,0.169,0.3323,11,6294,23.92
119-1,0.169,0.3323,11,6248,24.1
119-2,0.169,0.3323,11,6175,24.38
119-3,0.169,0.3323,11,6110,24.64
119-4,0.169,0.3323,11,6246,24.1
120-0,0.17,0.3325,11,6250,24.08
120-1,0.17,0.3325,11,6266,24.02
120-2,0.17,0.3325,11,6199,24.28
120-3,0.17,0.3325,11,6120,24.6
120-4,0.17,0.3325,11,6148,24.48
121-0,0.171,0.3328,11,6235,24.14
121-1,0.171,0.3328,11,6243,24.11
121-2,0.171,0.3328,11,6240,24.12
121-3,0.171,0.3328,11,6256,24.06
121-4,0.171,0.3328,11,6069,24.8
122-0,0.172,0.333,11,6302,23.89
122-1,0.172,0.333,11,6218,24.2
122-2,0.172,0.333,11,6296,23.9
122-3,0.172,0.333,11,6223,24.19
122-4,0.172,0.333,11,6221,24.2
123-0,0.173,0.3335,11,6250,24.08
123-1,0.173,0.3335,11,6381,23.6
123-2,0.173,0.3335,11,6386,23.58
123-3,0.173,0.3335,11,6272,24.0
123-4,0.173,0.3335,11,6230,24.16
124-0,0.174,0.3337,11,6301,23.89
124-1,0.174,0.3337,11,6395,23.53
124-2,0.174,0.3337,11,6413,23.47
124-3,0.174,0.3337,11,6252,24.08
124-4,0.174,0.3337,11,6401,23.52
125-0,0.175,0.334,11,6395,23.53
125-1,0.175,0.334,11,6419,23.45
125-2,0.175,0.334,11,6493,23.19
125-3,0.175,0.334,11,6380,23.6
125-4,0.175,0.334,11,6413,23.47
126-0,0.176,0.3342,11,6297,23.9
126-1,0.176,0.3342,11,6461,23.3
126-2,0.176,0.3342,11,6253,24.08
126-3,0.176,0.3342,11,6423,23.44
126-4,0.176,0.3342,11,6356,23.69
127-0,0.177,0.3345,11,6290,23.94
127-1,0.177,0.3345,11,6379,23.6
127-2,0.177,0.3345,11,6286,23.95
127-3,0.177,0.3345,11,6436,23.39
127-4,0.177,0.3345,11,6503,23.14
128-0,0.178,0.3347,11,6421,23.44
128-1,0.178,0.3347,11,6437,23.39
